fold_id,cv_tag,html_id,sent_id,text,tag
0,cv000,29590,0,"films adapted from comic books have had plenty of success , whether they're about superheroes ( batman , superman , spawn ) , or geared toward kids ( casper ) or the arthouse crowd ( ghost world ) , but there's never really been a comic book like from hell before .",pos
0,cv000,29590,1,"for starters , it was created by alan moore ( and eddie campbell ) , who brought the medium to a whole new level in the mid '80s with a 12-part series called the watchmen .",pos
0,cv000,29590,2,to say moore and campbell thoroughly researched the subject of jack the ripper would be like saying michael jackson is starting to look a little odd .,pos
0,cv000,29590,3,"the book ( or "" graphic novel , "" if you will ) is over 500 pages long and includes nearly 30 more that consist of nothing but footnotes .",pos
0,cv000,29590,4,"in other words , don't dismiss this film because of its source .",pos
0,cv000,29590,5,"if you can get past the whole comic book thing , you might find another stumbling block in from hell's directors , albert and allen hughes .",pos
0,cv000,29590,6,"getting the hughes brothers to direct this seems almost as ludicrous as casting carrot top in , well , anything , but riddle me this : who better to direct a film that's set in the ghetto and features really violent street crime than the mad geniuses behind menace ii society ?",pos
0,cv000,29590,7,"the ghetto in question is , of course , whitechapel in 1888 london's east end .",pos
0,cv000,29590,8,"it's a filthy , sooty place where the whores ( called "" unfortunates "" ) are starting to get a little nervous about this mysterious psychopath who has been carving through their profession with surgical precision .",pos
0,cv000,29590,9,"when the first stiff turns up , copper peter godley ( robbie coltrane , the world is not enough ) calls in inspector frederick abberline ( johnny depp , blow ) to crack the case .",pos
0,cv000,29590,10,"abberline , a widower , has prophetic dreams he unsuccessfully tries to quell with copious amounts of absinthe and opium .",pos
0,cv000,29590,11,"upon arriving in whitechapel , he befriends an unfortunate named mary kelly ( heather graham , say it isn't so ) and proceeds to investigate the horribly gruesome crimes that even the police surgeon can't stomach .",pos
0,cv000,29590,12,"i don't think anyone needs to be briefed on jack the ripper , so i won't go into the particulars here , other than to say moore and campbell have a unique and interesting theory about both the identity of the killer and the reasons he chooses to slay .",pos
0,cv000,29590,13,"in the comic , they don't bother cloaking the identity of the ripper , but screenwriters terry hayes ( vertical limit ) and rafael yglesias ( les mis ? rables ) do a good job of keeping him hidden from viewers until the very end .",pos
0,cv000,29590,14,"it's funny to watch the locals blindly point the finger of blame at jews and indians because , after all , an englishman could never be capable of committing such ghastly acts .",pos
0,cv000,29590,15,"and from hell's ending had me whistling the stonecutters song from the simpsons for days ( "" who holds back the electric car/who made steve guttenberg a star ? "" ) .",pos
0,cv000,29590,16,don't worry - it'll all make sense when you see it .,pos
0,cv000,29590,17,"now onto from hell's appearance : it's certainly dark and bleak enough , and it's surprising to see how much more it looks like a tim burton film than planet of the apes did ( at times , it seems like sleepy hollow 2 ) .",pos
0,cv000,29590,18,"the print i saw wasn't completely finished ( both color and music had not been finalized , so no comments about marilyn manson ) , but cinematographer peter deming ( don't say a word ) ably captures the dreariness of victorian-era london and helped make the flashy killing scenes remind me of the crazy flashbacks in twin peaks , even though the violence in the film pales in comparison to that in the black-and-white comic .",pos
0,cv000,29590,19,oscar winner martin childs' ( shakespeare in love ) production design turns the original prague surroundings into one creepy place .,pos
0,cv000,29590,20,"even the acting in from hell is solid , with the dreamy depp turning in a typically strong performance and deftly handling a british accent .",pos
0,cv000,29590,21,"ians holm ( joe gould's secret ) and richardson ( 102 dalmatians ) log in great supporting roles , but the big surprise here is graham .",pos
0,cv000,29590,22,"i cringed the first time she opened her mouth , imagining her attempt at an irish accent , but it actually wasn't half bad .",pos
0,cv000,29590,23,"the film , however , is all good .",pos
0,cv000,29590,24,"2 : 00 - r for strong violence/gore , sexuality , language and drug content",pos
0,cv001,18431,0,"every now and then a movie comes along from a suspect studio , with every indication that it will be a stinker , and to everybody's surprise ( perhaps even the studio ) the film becomes a critical darling .",pos
0,cv001,18431,1,"mtv films' _election , a high school comedy starring matthew broderick and reese witherspoon , is a current example .",pos
0,cv001,18431,2,did anybody know this film existed a week before it opened ?,pos
0,cv001,18431,3,the plot is deceptively simple .,pos
0,cv001,18431,4,george washington carver high school is having student elections .,pos
0,cv001,18431,5,"tracy flick ( reese witherspoon ) is an over-achiever with her hand raised at nearly every question , way , way , high .",pos
0,cv001,18431,6,"mr . "" m "" ( matthew broderick ) , sick of the megalomaniac student , encourages paul , a popular-but-slow jock to run .",pos
0,cv001,18431,7,"and paul's nihilistic sister jumps in the race as well , for personal reasons .",pos
0,cv001,18431,8,"the dark side of such sleeper success is that , because expectations were so low going in , the fact that this was quality stuff made the reviews even more enthusiastic than they have any right to be .",pos
0,cv001,18431,9,"you can't help going in with the baggage of glowing reviews , which is in contrast to the negative baggage that the reviewers were likely to have .",pos
0,cv001,18431,10,"_election , a good film , does not live up to its hype .",pos
0,cv001,18431,11,"what makes _election_ so disappointing is that it contains significant plot details lifted directly from _rushmore_ , released a few months earlier .",pos
0,cv001,18431,12,the similarities are staggering :,pos
0,cv001,18431,13,"tracy flick ( _election_ ) is the president of an extraordinary number of clubs , and is involved with the school play .",pos
0,cv001,18431,14,"max fischer ( _rushmore_ ) is the president of an extraordinary number of clubs , and is involved with the school play .",pos
0,cv001,18431,15,the most significant tension of _election_ is the potential relationship between a teacher and his student .,pos
0,cv001,18431,16,the most significant tension of _rushmore_ is the potential relationship between a teacher and his student .,pos
0,cv001,18431,17,"tracy flick is from a single parent home , which has contributed to her drive .",pos
0,cv001,18431,18,"max fischer is from a single parent home , which has contributed to his drive .",pos
0,cv001,18431,19,"the male bumbling adult in _election_ ( matthew broderick ) pursues an extramarital affair , gets caught , and his whole life is ruined .",pos
0,cv001,18431,20,he even gets a bee sting .,pos
0,cv001,18431,21,"the male bumbling adult in _rushmore_ ( bill murray ) pursues an extramarital affair , gets caught , and his whole life is ruined .",pos
0,cv001,18431,22,he gets several bee stings .,pos
0,cv001,18431,23,and so on .,pos
0,cv001,18431,24,what happened ?,pos
0,cv001,18431,25,"how is it that an individual screenplay ( _rushmore_ ) and a novel ( _election_ ) contain so many significant plot points , and yet both films were probably not even aware of each other , made from two different studios , from a genre ( the high school geeks revenge movie ) that hadn't been fully formed yet ?",pos
0,cv001,18431,26,"even so , the strengths of _election_ rely upon its fantastic performances from broderick , witherspoon , and newcomer jessica campbell , as paul's anti-social sister , tammy .",pos
0,cv001,18431,27,"broderick here is playing the mr . rooney role from _ferris bueller_ , and he seems to be having the most fun he's had since then .",pos
0,cv001,18431,28,witherspoon is a revelation .,pos
0,cv001,18431,29,"it's early in the year , it's a comedy , and teenagers have little clout , but for my money , witherspoon deserves an oscar nomination .",pos
0,cv001,18431,30,"and once campbell's character gets going , like in her fantastic speech in the gymnasium , then you're won over .",pos
0,cv001,18431,31,one thing that's been bothering me since i've seen it .,pos
0,cv001,18431,32,there is an extraordinary amount of sexuality in this film .,pos
0,cv001,18431,33,"i suppose that , coming from mtv films , i should expect no less . . .",pos
0,cv001,18431,34,"but the film starts off light and airy , like a sitcom .",pos
0,cv001,18431,35,"as the screws tighten , and the tensions mount , alexander payne decides to add elements that , frankly , distract from the story .",pos
0,cv001,18431,36,"it is bad enough that mr . m doesn't like tracy's determination to win at all costs , but did they have to throw in the student/teacher relationship ?",pos
0,cv001,18431,37,"even so , there's no logical reason why mr . m has an affair when he does .",pos
0,cv001,18431,38,"there's a lot to like in _election_ , but the plot similarities to _rushmore_ , and the tonal nosedive it takes as it gets explicitly sex-driven , mark this as a disappointment .",pos
0,cv002,15918,0,you've got mail works alot better than it deserves to .,pos
0,cv002,15918,1,"in order to make the film a success , all they had to do was cast two extremely popular and attractive stars , have them share the screen for about two hours and then collect the profits .",pos
0,cv002,15918,2,"no real acting was involved and there is not an original or inventive bone in it's body ( it's basically a complete re-shoot of the shop around the corner , only adding a few modern twists ) .",pos
0,cv002,15918,3,"essentially , it goes against and defies all concepts of good contemporary filmmaking .",pos
0,cv002,15918,4,"it's overly sentimental and at times terribly mushy , not to mention very manipulative .",pos
0,cv002,15918,5,"but oh , how enjoyable that manipulation is .",pos
0,cv002,15918,6,"but there must be something other than the casting and manipulation that makes the movie work as well as it does , because i absolutely hated the previous ryan/hanks teaming , sleepless in seattle .",pos
0,cv002,15918,7,"it couldn't have been the directing , because both films were helmed by the same woman .",pos
0,cv002,15918,8,"i haven't quite yet figured out what i liked so much about you've got mail , but then again , is that really important ?",pos
0,cv002,15918,9,"if you like something so much , why even question it ?",pos
0,cv002,15918,10,"again , the storyline is as cliched as they come .",pos
0,cv002,15918,11,"tom hanks plays joe fox , the insanely likeable owner of a discount book chain and meg ryan plays kathleen kelley , the even more insanely likeable proprietor of a family-run children's book shop called , in a nice homage , the shop around the corner .",pos
0,cv002,15918,12,fox and kelley soon become bitter rivals because the new fox books store is opening up right across the block from the small business .,pos
0,cv002,15918,13,"little do they know , they are already in love with each other over the internet , only neither party knows the other person's true identity .",pos
0,cv002,15918,14,the rest of the story isn't important because all it does is serve as a mere backdrop for the two stars to share the screen .,pos
0,cv002,15918,15,"sure , there are some mildly interesting subplots , but they all fail in comparison to the utter cuteness of the main relationship .",pos
0,cv002,15918,16,"all of this , of course , leads up to the predictable climax .",pos
0,cv002,15918,17,"but as foreseeable as the ending is , it's so damn cute and well-done that i doubt any movie in the entire year contains a scene the evokes as much pure joy as this part does .",pos
0,cv002,15918,18,"when ryan discovers the true identity of her online love , i was filled with such , for lack of a better word , happiness that for the first time all year , i actually left the theater smiling .",pos
0,cv003,11664,0,""" jaws "" is a rare film that grabs your attention before it shows you a single image on screen .",pos
0,cv003,11664,1,"the movie opens with blackness , and only distant , alien-like underwater sounds .",pos
0,cv003,11664,2,"then it comes , the first ominous bars of composer john williams' now infamous score .",pos
0,cv003,11664,3,dah-dum .,pos
0,cv003,11664,4,"from there , director steven spielberg wastes no time , taking us into the water on a midnight swim with a beautiful girl that turns deadly .",pos
0,cv003,11664,5,"right away he lets us know how vulnerable we all are floating in the ocean , and once "" jaws "" has attacked , it never relinquishes its grip .",pos
0,cv003,11664,6,"perhaps what is most outstanding about "" jaws "" is how spielberg builds the movie .",pos
0,cv003,11664,7,"he works it like a theatrical production , with a first act and a second act .",pos
0,cv003,11664,8,"unlike so many modern filmmakers , he has a great deal of restraint , and refuses to show us the shark until the middle of the second act .",pos
0,cv003,11664,9,"until then , he merely suggests its presence with creepy , subjective underwater shots and williams' music .",pos
0,cv003,11664,10,"he's building the tension bit by bit , so when it comes time for the climax , the shark's arrival is truly terrifying .",pos
0,cv003,11664,11,he doesn't let us get bored with the imagery .,pos
0,cv003,11664,12,"the first act opens with police chief martin brody ( roy scheider ) , a new york cop who has taken an easy , peaceful job running the police station on amity island , a fictitious new england resort town where there hasn't been a murder or a gun fired in 25 years .",pos
0,cv003,11664,13,"the island is shaken up by several vicious great white shark attacks right before the fourth of july , and the mayor , larry vaughn ( murray hamilton ) , doesn't want to shut down the beaches because the island is reliant on summer tourist money .",pos
0,cv003,11664,14,"brody is joined by matt hooper ( richard dreyfuss ) , a young , ambitious shark expert from the marine institute .",pos
0,cv003,11664,15,"hooper is as fascinated by the shark as he is determined to help brody stop it -- his knowledge about the exact workings of the shark ( "" it's a perfect engine , an eating machine "" ) make it that much more terrifying .",pos
0,cv003,11664,16,"when vaughn finally relents , hooper and brody join a crusty old shark killer named quint ( robert shaw ) on his decrepit boat , the orca , to search for the shark .",pos
0,cv003,11664,17,"the entire second act takes place on the orca as the three men hunt the shark , and inevitably , are hunted by it .",pos
0,cv003,11664,18,""" jaws "" is a thriller with a keen sense of humor and an incredible sense of pacing , tension , and horror .",pos
0,cv003,11664,19,"it is like ten movies all rolled into one , and it's no wonder it took america by storm in the summer of 1975 , taking in enough money to crown it the box office champ of all time ( until it was unceremoniously dethroned in 1977 by "" star wars "" ) .",pos
0,cv003,11664,20,"even today , fascination with this film is on par with hitchcock's "" psycho , "" and it never seems to age .",pos
0,cv003,11664,21,"although grand new technology exists that makes the technical sequences , including several mechanical sharks , obsolete , none of it could improve the film because it only would lead to overkill .",pos
0,cv003,11664,22,"the technical limitations faced by spielberg in 1975 may have actually produced a better film because it forced him to rely on traditional cinematic elements like pacing , characterization , sharp editing , and creative photography , instead of simply dousing the audience with digital shark effects .",pos
0,cv003,11664,23,"scheider , dreyfuss , and shaw were known actors at the time "" jaws "" was made , but none of them had the draw of a robert redford or paul newman .",pos
0,cv003,11664,24,"nevertheless , this film guaranteed them all successful careers because each gave an outstanding performance and refused to be overshadowed by the shark .",pos
0,cv003,11664,25,scheider hits just the right notes as a sympathetic husband and father caught in the political quagmire of doing what's right and going against the entire town .,pos
0,cv003,11664,26,""" it's your first summer here , you know , "" mayor vaughn warns him .",pos
0,cv003,11664,27,"dreyfuss , who had previously been seen in "" american graffiti "" ( 1973 ) and "" the apprenticeship of duddy kravitz "" ( 1974 ) gives a surprisingly mature , complex performance for someone who had literally only played kids and teenagers .",pos
0,cv003,11664,28,"however , most outstanding is the gnarled performance by robert shaw as the movie's captain ahab , a performance sorely overlooked by the academy awards .",pos
0,cv003,11664,29,"bordering of parody , shaw plays quint as a grizzled old loner whose machismo borders on masochism .",pos
0,cv003,11664,30,"he's slightly deranged , and shaw's performance is almost a caricature .",pos
0,cv003,11664,31,"however , there is one scene late in the film , when he and brody and hooper are below deck on the orca comparing scars .",pos
0,cv003,11664,32,quint is drawn into telling the story of his experiences aboard the u . s . s .,pos
0,cv003,11664,33,"indianapolis , a navy ship in world war ii that was sunk by the japanese .",pos
0,cv003,11664,34,"his tale of floating in the water for more than a week with over 1 , 000 other men while swarms of sharks slowly devoured them them is actually more hair-raising than anything spielberg put on screen .",pos
0,cv003,11664,35,"shaw delivers the story in one long take , and it is the best acting in the film .",pos
0,cv003,11664,36,"of course , we can't leave out the shark itself ; with its black eyes , endless rows of teeth , and insatiable urge to eat , it is basically the epitome of all mankind's fears about what is unknown and threatening in nature .",pos
0,cv003,11664,37,"a shark is such a perfect nemesis it is real -- having survived sinch the dinosaurs , great whites do exist , they can be as large as the shark in "" jaws , "" and they are a threat .",pos
0,cv003,11664,38,"every one of spielberg's subjective underwater shots makes us feel queasy because lets us see how we look to the shark : a bunch of writihing , dangling , completely unprotected legs just ready to be chomped into .",pos
0,cv003,11664,39,"the shark in "" jaws "" was actually a combination of actual footage and five different mechanical sharks ( all nicknamed "" bruce "" by the crew ) built to be shot from different angles .",pos
0,cv003,11664,40,"many have forgotten , but "" jaws "" was a sort of precursor to "" waterworld "" ( 1995 ) , a movie's who soggy production and cost overruns had universal studios worried about a bomb .",pos
0,cv003,11664,41,"but , as we can see now , spielberg overcame all the obstacles , and delivered one of the finest primal scare-thrillers ever to come out of hollywood .",pos
0,cv004,11636,0,moviemaking is a lot like being the general manager of an nfl team in the post-salary cap era -- you've got to know how to allocate your resources .,pos
0,cv004,11636,1,every dollar spent on a free-agent defensive tackle is one less dollar than you can spend on linebackers or safeties or centers .,pos
0,cv004,11636,2,"in the nfl , this leads to teams like the detroit lions , who boast a superstar running back with a huge contract , but can only field five guys named herb to block for him .",pos
0,cv004,11636,3,"in the movies , you end up with films like "" spawn "" , with a huge special-effects budget but not enough money to hire any recognizable actors .",pos
0,cv004,11636,4,jackie chan is the barry sanders of moviemaking .,pos
0,cv004,11636,5,he spins and darts across the screen like sanders cutting back through the defensive line .,pos
0,cv004,11636,6,"watching jackie in operation condor as he drives his motorcycle through the crowded streets of madrid , fleeing an armada of pursuers in identical black compact cars , is reminiscent of sanders running for daylight with the chicago bears in hot pursuit , except that sanders doesn't have to worry about rescuing runaway baby carriages .",pos
0,cv004,11636,7,"but like the lions star , jackie doesn't have anybody to block for him .",pos
0,cv004,11636,8,"almost every cent that's invested in a jackie chan movie goes for stunts , and as chan does his own stunts , the rest of the money goes to pay his hospital bills .",pos
0,cv004,11636,9,"this leaves about 75 cents to pay for things like directors ( chan directs ) , scripts and dubbing and supporting characters , not to mention the hideous title sequence .",pos
0,cv004,11636,10,this also explains why the movie was shot in odd places like morocco and spain .,pos
0,cv004,11636,11,"( chan's first release in this country , "" rumble in the bronx "" , was supposedly set in new york , but was filmed in vancouver , and in the chase scenes the canadian rockies are clearly visible . )",pos
0,cv004,11636,12,"heck , jackie doesn't even have enough money for a haircut , looks like , much less a personal hairstylist .",pos
0,cv004,11636,13,"in condor , chan plays the same character he's always played , himself , a mixture of bruce lee and tim allen , a master of both kung-fu and slapstick-fu .",pos
0,cv004,11636,14,"jackie is sent by the un to retrieve a cache of lost nazi gold in the north african desert , and is chased by a horde of neo-nazi sympathizers and two stereotypical arabs ( one of the things i like about jackie chan movies : no political correctness ) .",pos
0,cv004,11636,15,"he is joined by three women , who have little to do except scream , "" jackie , save us ! "" , and misuse firearms .",pos
0,cv004,11636,16,"the villain is an old nazi whose legs were broken in the secret base so that he has to be carried everywhere , and he's more pathetic than evil .",pos
